Protocol,Length,Src_IP,Dst_IP,Src_Port,Dst_Port,Timestamp,Anomaly
TCP,66,10.0.2.15,10.0.2.2,58246,53,1629118909.012902,1
DNS,82,10.0.2.2,8.8.8.8,36764,53,1629118909.013876,1
TCP,74,10.0.2.15,10.0.2.2,47618,63331,1629118909.014853,1
TCP,54,10.0.2.2,10.0.2.15,113,52714,1629118909.014853,1
TCP,74,10.0.2.15,10.0.2.2,59352,2608,1629118909.015828,1
TCP,74,10.0.2.2,10.0.2.15,21,52744,1629118909.016808,1
TCP,74,10.0.2.15,10.0.2.2,48332,3351,1629118909.01778,1
VNC,78,10.0.2.2,10.0.2.15,5900,60280,1629118909.018759,1
TCP,74,10.0.2.15,10.0.2.2,45488,1213,1629118909.019732,1
TCP,54,10.0.2.2,10.0.2.15,1723,47652,1629118909.020708,1
TCP,66,10.0.2.15,10.0.2.2,34752,111,1629118909.021684,1
TCP,54,10.0.2.2,10.0.2.15,8080,56772,1629118909.022663,1
TCP,66,10.0.2.15,10.0.2.2,34752,111,1629118909.023638,1
TCP,54,10.0.2.2,10.0.2.15,82,44264,1629118909.023638,1
TCP,74,10.0.2.15,10.0.2.2,35622,5004,1629118909.024612,1
TCP,54,10.0.2.2,10.0.2.15,8290,55652,1629118909.025588,1
TCP,74,10.0.2.15,10.0.2.2,42232,7496,1629118909.026564,1
TCP,54,10.0.2.2,10.0.2.15,6025,34384,1629118909.02754,1
TCP,66,10.0.2.15,10.0.2.2,42834,22,1629118909.028518,1
TCP,54,10.0.2.2,10.0.2.15,45100,53394,1629118909.028518,1
TCP,66,10.0.2.15,10.0.2.2,42834,22,1629118909.029494,1
TCP,74,10.0.2.15,10.0.2.2,58116,1023,1629118909.030469,1
TCP,74,10.0.2.15,10.0.2.2,44772,3324,1629118909.031445,1
TCP,74,10.0.2.15,10.0.2.2,46354,1971,1629118909.032421,1
TCP,74,10.0.2.15,10.0.2.2,51462,1310,1629118909.033397,1
TCP,54,10.0.2.2,10.0.2.15,63331,47618,1629118909.034373,1
